request_id,request_date,business_unit,requester,request_type,priority,deadline_date,completion_date,status,turnaround_hours
ADH-0025,2024-11-23,Closing,CLO-VP,Exception Report,Medium,2024-11-28,2024-11-25,Completed,68
ADH-0026,2024-11-15,Operations,OPE-Lead,Performance Summary,Low,2024-11-24,2024-11-19,Completed,118
ADH-0027,2024-11-27,Operations,OPE-Manager,Performance Summary,Medium,2024-12-01,2024-11-29,Completed,70
ADH-0028,2024-02-09,Compliance,COM-Manager,Performance Summary,High,2024-02-10,2024-02-09,Completed,22
ADH-0029,2024-05-13,Operations,OPE-VP,Custom Metric,Low,2024-05-20,2024-05-14,Completed,24
ADH-0030,2024-02-05,Underwriting,UND-Lead,Volume Tracker,Medium,2024-02-09,2024-02-06,Completed,28
ADH-0031,2024-10-04,Operations,OPE-VP,Trend Analysis,Medium,2024-10-08,2024-10-06,Completed,57
ADH-0032,2024-10-16,Compliance,COM-Director,Compliance Audit,Medium,2024-10-20,2024-10-19,Completed,85
ADH-0033,2024-11-27,Client Services,CLI-VP,Trend Analysis,Low,2024-12-08,2024-12-07,Completed,258
ADH-0034,2024-06-29,Closing,CLO-VP,Trend Analysis,Medium,2024-07-03,2024-06-29,Completed,20
ADH-0035,2024-05-15,Operations,OPE-Lead,Trend Analysis,Medium,2024-05-19,2024-05-15,Completed,14
ADH-0036,2024-09-02,Operations,OPE-Manager,Trend Analysis,High,2024-09-03,2024-09-02,Completed,20
ADH-0037,2024-08-02,Compliance,COM-Lead,Custom Metric,Medium,2024-08-05,2024-08-04,Completed,71
ADH-0038,2024-07-01,Compliance,COM-Lead,Compliance Audit,Low,2024-07-12,2024-07-10,Completed,221
ADH-0039,2024-11-09,Client Services,CLI-Manager,Volume Tracker,Medium,2024-11-14,2024-11-13,Completed,113
ADH-0040,2024-08-14,Operations,OPE-Manager,Volume Tracker,High,2024-08-16,2024-08-15,Completed,25
ADH-0041,2024-12-02,Client Services,CLI-Manager,Trend Analysis,Medium,2024-12-05,2024-12-02,Completed,20
ADH-0042,2024-03-25,Underwriting,UND-Lead,Volume Tracker,High,2024-03-27,,Pending Info,
ADH-0043,2024-03-11,Closing,CLO-VP,Compliance Audit,Medium,2024-03-17,2024-03-16,Completed,132
ADH-0044,2024-11-20,Compliance,COM-Director,Exception Report,Medium,2024-11-27,2024-11-25,Completed,125
ADH-0045,2024-02-24,Operations,OPE-Lead,Performance Summary,High,2024-02-25,2024-02-24,Completed,17
ADH-0046,2024-08-27,Client Services,CLI-Lead,Volume Tracker,High,2024-08-28,2024-08-27,Completed,18
ADH-0047,2024-04-28,Operations,OPE-Manager,Custom Metric,Medium,2024-05-05,,In Progress,
ADH-0048,2024-04-01,Operations,OPE-Director,Trend Analysis,Medium,2024-04-06,2024-04-03,Completed,71
ADH-0049,2024-10-01,Underwriting,UND-Director,Trend Analysis,Medium,2024-10-07,,In Progress,
ADH-0050,2024-10-06,Compliance,COM-Lead,Custom Metric,Medium,2024-10-12,2024-10-07,Completed,26
ADH-0051,2024-07-08,Closing,CLO-Manager,Custom Metric,Medium,2024-07-13,2024-07-10,Completed,66
ADH-0052,2024-06-09,Client Services,CLI-VP,Compliance Audit,Medium,2024-06-14,2024-06-13,Completed,104
ADH-0053,2024-01-16,Underwriting,UND-Manager,Volume Tracker,High,2024-01-19,2024-01-16,Completed,5
ADH-0054,2024-08-04,Underwriting,UND-Director,Custom Metric,Medium,2024-08-10,2024-08-09,Completed,126
ADH-0055,2024-05-06,Client Services,CLI-VP,Exception Report,Low,2024-05-12,2024-05-11,Completed,127
ADH-0056,2024-10-31,Operations,OPE-Lead,Exception Report,Low,2024-11-12,,In Progress,
ADH-0057,2024-04-05,Underwriting,UND-Manager,Performance Summary,High,2024-04-07,,Pending Info,
ADH-0058,2024-05-10,Operations,OPE-Lead,Volume Tracker,High,2024-05-12,2024-05-11,Completed,36
ADH-0059,2024-02-19,Operations,OPE-Lead,Performance Summary,High,2024-02-21,2024-02-19,Completed,13
ADH-0060,2024-02-23,Closing,CLO-VP,Trend Analysis,Low,2024-02-29,,Pending Info,
ADH-0061,2024-09-24,Client Services,CLI-Manager,Exception Report,High,2024-09-26,2024-09-24,Completed,18
ADH-0062,2024-06-23,Closing,CLO-Manager,Volume Tracker,Medium,2024-06-29,2024-06-25,Completed,49
ADH-0063,2024-12-29,Underwriting,UND-Manager,Custom Metric,Medium,2025-01-04,2025-01-02,Completed,103
ADH-0064,2024-03-07,Underwriting,UND-VP,Performance Summary,Low,2024-03-16,2024-03-13,Completed,153
ADH-0065,2024-08-26,Closing,CLO-VP,Custom Metric,Medium,2024-08-30,2024-08-26,Completed,5
ADH-0066,2024-02-29,Operations,OPE-Manager,Exception Report,Medium,2024-03-03,2024-02-29,Completed,18
ADH-0067,2024-05-02,Operations,OPE-Director,Compliance Audit,Low,2024-05-12,2024-05-07,Completed,135
ADH-0068,2024-04-25,Compliance,COM-Lead,Compliance Audit,Medium,2024-04-28,2024-04-25,Completed,6
ADH-0069,2024-11-14,Closing,CLO-Lead,Compliance Audit,High,2024-11-17,2024-11-15,Completed,47
ADH-0070,2024-11-05,Operations,OPE-Director,Exception Report,Low,2024-11-17,2024-11-06,Completed,36
ADH-0071,2024-09-29,Underwriting,UND-Manager,Performance Summary,Medium,2024-10-04,2024-09-29,Completed,20
ADH-0072,2024-09-25,Closing,CLO-Lead,Performance Summary,Medium,2024-10-01,2024-09-27,Completed,67
ADH-0073,2024-07-03,Underwriting,UND-Manager,Exception Report,Medium,2024-07-10,2024-07-04,Completed,26
ADH-0074,2024-06-03,Client Services,CLI-Manager,Compliance Audit,Medium,2024-06-07,2024-06-04,Completed,42
ADH-0075,2024-02-08,Underwriting,UND-VP,Compliance Audit,Medium,2024-02-13,2024-02-09,Completed,41
ADH-0076,2024-12-19,Client Services,CLI-VP,Performance Summary,Low,2024-12-24,2024-12-21,Completed,62
ADH-0077,2024-03-03,Client Services,CLI-Lead,Custom Metric,High,2024-03-06,2024-03-05,Completed,50
ADH-0078,2024-06-07,Closing,CLO-Director,Volume Tracker,High,2024-06-09,2024-06-08,Completed,33
ADH-0079,2024-01-18,Compliance,COM-Lead,Trend Analysis,Medium,2024-01-23,2024-01-18,Completed,4
ADH-0080,2024-09-29,Closing,CLO-Lead,Volume Tracker,Low,2024-10-04,2024-10-01,Completed,49
ADH-0081,2024-08-23,Operations,OPE-VP,Custom Metric,Medium,2024-08-30,2024-08-27,Completed,109
ADH-0082,2024-12-16,Operations,OPE-Lead,Compliance Audit,High,2024-12-19,2024-12-16,Completed,8
ADH-0083,2024-02-25,Underwriting,UND-Lead,Trend Analysis,High,2024-02-27,2024-02-26,Completed,31
ADH-0084,2024-10-07,Closing,CLO-VP,Exception Report,Medium,2024-10-12,2024-10-11,Completed,116
ADH-0085,2024-02-01,Closing,CLO-Lead,Exception Report,Medium,2024-02-07,2024-02-06,Completed,143
ADH-0086,2024-02-20,Operations,OPE-Lead,Exception Report,Medium,2024-02-24,2024-02-20,Completed,23
ADH-0087,2024-03-07,Compliance,COM-Manager,Custom Metric,High,2024-03-08,2024-03-07,Completed,8
ADH-0088,2024-11-22,Closing,CLO-Lead,Performance Summary,Medium,2024-11-29,2024-11-27,Completed,127
ADH-0089,2024-08-29,Operations,OPE-Lead,Compliance Audit,High,2024-09-01,2024-08-31,Completed,63
ADH-0090,2024-05-20,Underwriting,UND-Manager,Performance Summary,Medium,2024-05-24,2024-05-20,Completed,17
ADH-0091,2024-07-05,Client Services,CLI-Manager,Custom Metric,Medium,2024-07-08,2024-07-06,Completed,31
ADH-0092,2024-03-11,Underwriting,UND-Manager,Compliance Audit,Medium,2024-03-14,2024-03-13,Completed,55
ADH-0093,2024-09-11,Client Services,CLI-VP,Custom Metric,High,2024-09-14,2024-09-13,Completed,60
ADH-0094,2024-08-13,Underwriting,UND-Director,Performance Summary,High,2024-08-14,2024-08-13,Completed,16
ADH-0095,2024-07-29,Underwriting,UND-Lead,Exception Report,Medium,2024-08-02,2024-07-31,Completed,58
ADH-0096,2024-09-18,Compliance,COM-VP,Performance Summary,Medium,2024-09-21,2024-09-18,Completed,21
ADH-0097,2024-03-28,Closing,CLO-Director,Volume Tracker,Medium,2024-04-01,2024-03-28,Completed,22
ADH-0098,2024-06-27,Closing,CLO-Director,Trend Analysis,Low,2024-07-06,2024-06-27,Completed,11
ADH-0099,2024-07-15,Client Services,CLI-VP,Exception Report,High,2024-07-18,2024-07-16,Completed,31
ADH-0100,2024-11-18,Underwriting,UND-VP,Compliance Audit,Medium,2024-11-23,2024-11-19,Completed,43
ADH-0101,2024-12-03,Underwriting,UND-Manager,Volume Tracker,Medium,2024-12-06,2024-12-06,Completed,72
ADH-0102,2024-06-30,Underwriting,UND-Manager,Compliance Audit,High,2024-07-02,2024-07-01,Completed,43
ADH-0103,2024-11-19,Closing,CLO-Manager,Trend Analysis,Medium,2024-11-22,2024-11-21,Completed,63
ADH-0104,2024-11-28,Operations,OPE-Director,Custom Metric,High,2024-11-30,2024-11-30,Completed,48
ADH-0105,2024-12-04,Underwriting,UND-Director,Compliance Audit,High,2024-12-06,2024-12-05,Completed,32
ADH-0106,2024-06-18,Operations,OPE-VP,Trend Analysis,High,2024-06-20,2024-06-19,Completed,35
ADH-0107,2024-08-13,Operations,OPE-Director,Compliance Audit,Medium,2024-08-18,2024-08-16,Completed,84
ADH-0108,2024-03-05,Operations,OPE-Lead,Trend Analysis,High,2024-03-07,2024-03-06,Completed,38
ADH-0109,2024-09-25,Client Services,CLI-Manager,Performance Summary,Medium,2024-09-30,2024-09-26,Completed,31
ADH-0110,2024-10-31,Closing,CLO-Lead,Volume Tracker,Medium,2024-11-07,2024-11-01,Completed,43
ADH-0111,2024-01-08,Closing,CLO-Director,Performance Summary,Low,2024-01-18,2024-01-17,Completed,221
ADH-0112,2024-08-27,Compliance,COM-Lead,Trend Analysis,High,2024-08-29,2024-08-27,Completed,11
ADH-0113,2024-08-19,Compliance,COM-Lead,Performance Summary,Medium,2024-08-26,2024-08-25,Completed,150
ADH-0114,2024-11-17,Compliance,COM-VP,Trend Analysis,Medium,2024-11-21,2024-11-19,Completed,56
ADH-0115,2024-02-04,Underwriting,UND-Director,Compliance Audit,Low,2024-02-10,2024-02-09,Completed,131
ADH-0116,2024-08-07,Underwriting,UND-Director,Exception Report,High,2024-08-09,2024-08-07,Completed,7
ADH-0117,2024-08-01,Operations,OPE-Manager,Compliance Audit,High,2024-08-04,2024-08-02,Completed,37
ADH-0118,2024-06-27,Underwriting,UND-VP,Trend Analysis,Low,2024-07-08,,In Progress,
ADH-0119,2024-11-06,Client Services,CLI-VP,Performance Summary,Medium,2024-11-12,2024-11-10,Completed,109
ADH-0120,2024-02-12,Client Services,CLI-VP,Volume Tracker,Medium,2024-02-15,,Pending Info,
ADH-0121,2024-02-22,Closing,CLO-Manager,Volume Tracker,High,2024-02-23,,Pending Info,
ADH-0122,2024-08-05,Operations,OPE-VP,Compliance Audit,Medium,2024-08-08,2024-08-07,Completed,60
ADH-0123,2024-06-21,Operations,OPE-Director,Trend Analysis,High,2024-06-22,2024-06-21,Completed,6
ADH-0124,2024-03-16,Operations,OPE-Lead,Performance Summary,Medium,2024-03-22,,Pending Info,
ADH-0125,2024-04-24,Operations,OPE-Lead,Custom Metric,High,2024-04-27,2024-04-25,Completed,42
ADH-0126,2024-02-13,Operations,OPE-VP,Volume Tracker,High,2024-02-15,2024-02-13,Completed,4
ADH-0127,2024-04-04,Operations,OPE-Lead,Exception Report,High,2024-04-05,2024-04-04,Completed,7
ADH-0128,2024-02-15,Underwriting,UND-VP,Trend Analysis,Low,2024-02-25,2024-02-24,Completed,227
ADH-0129,2024-11-04,Underwriting,UND-Director,Exception Report,Low,2024-11-15,2024-11-08,Completed,116
ADH-0130,2024-11-23,Operations,OPE-Director,Custom Metric,High,2024-11-26,2024-11-23,Completed,18
ADH-0131,2024-10-14,Underwriting,UND-VP,Exception Report,Medium,2024-10-18,2024-10-15,Completed,47
ADH-0132,2024-11-27,Underwriting,UND-Lead,Trend Analysis,Low,2024-12-11,2024-11-29,Completed,50
ADH-0133,2024-05-31,Compliance,COM-Manager,Trend Analysis,High,2024-06-02,2024-05-31,Completed,19
ADH-0134,2024-08-06,Compliance,COM-Manager,Custom Metric,Medium,2024-08-13,2024-08-11,Completed,127
ADH-0135,2024-01-13,Compliance,COM-Manager,Performance Summary,Medium,2024-01-17,2024-01-16,Completed,83
ADH-0136,2024-01-24,Closing,CLO-Director,Compliance Audit,High,2024-01-25,2024-01-24,Completed,10
ADH-0137,2024-07-11,Compliance,COM-Lead,Volume Tracker,Medium,2024-07-14,2024-07-11,Completed,20
ADH-0138,2024-02-07,Client Services,CLI-VP,Custom Metric,High,2024-02-10,2024-02-07,Completed,4
ADH-0139,2024-02-14,Closing,CLO-Manager,Exception Report,Medium,2024-02-19,2024-02-16,Completed,49
ADH-0140,2024-01-27,Operations,OPE-Manager,Performance Summary,Low,2024-02-02,2024-02-01,Completed,130
ADH-0141,2024-05-01,Compliance,COM-VP,Trend Analysis,Medium,2024-05-08,2024-05-05,Completed,104
ADH-0142,2024-05-08,Operations,OPE-Lead,Custom Metric,Low,2024-05-17,2024-05-08,Completed,2
ADH-0143,2024-02-09,Operations,OPE-Director,Compliance Audit,High,2024-02-12,2024-02-09,Completed,13
ADH-0144,2024-07-09,Client Services,CLI-VP,Trend Analysis,Medium,2024-07-13,2024-07-12,Completed,81
ADH-0145,2024-02-24,Client Services,CLI-Director,Compliance Audit,Medium,2024-03-01,2024-02-24,Completed,2
ADH-0146,2024-07-19,Operations,OPE-VP,Performance Summary,High,2024-07-22,2024-07-21,Completed,50
ADH-0147,2024-01-31,Underwriting,UND-VP,Custom Metric,High,2024-02-02,2024-01-31,Completed,18
ADH-0148,2024-05-24,Client Services,CLI-Director,Performance Summary,High,2024-05-27,2024-05-25,Completed,47
ADH-0149,2024-03-24,Underwriting,UND-VP,Trend Analysis,High,2024-03-26,2024-03-24,Completed,10
ADH-0150,2024-12-30,Operations,OPE-VP,Trend Analysis,Medium,2025-01-06,2025-01-05,Completed,162
ADH-0151,2024-10-10,Compliance,COM-Manager,Performance Summary,Medium,2024-10-17,2024-10-16,Completed,153
ADH-0152,2024-12-16,Client Services,CLI-VP,Trend Analysis,Medium,2024-12-21,2024-12-19,Completed,87
ADH-0153,2024-04-25,Closing,CLO-Manager,Volume Tracker,Medium,2024-04-29,2024-04-28,Completed,89
ADH-0154,2024-08-22,Compliance,COM-Manager,Volume Tracker,Medium,2024-08-25,2024-08-24,Completed,65
ADH-0155,2024-01-15,Operations,OPE-Manager,Volume Tracker,Medium,2024-01-22,2024-01-20,Completed,125
ADH-0156,2024-08-02,Underwriting,UND-Director,Custom Metric,Medium,2024-08-07,2024-08-03,Completed,28
ADH-0157,2024-07-30,Closing,CLO-Manager,Exception Report,High,2024-07-31,2024-07-30,Completed,5
ADH-0158,2024-06-09,Compliance,COM-VP,Custom Metric,Low,2024-06-19,2024-06-14,Completed,129
ADH-0159,2024-06-14,Client Services,CLI-Lead,Trend Analysis,High,2024-06-17,2024-06-15,Completed,27
ADH-0160,2024-12-09,Closing,CLO-Manager,Trend Analysis,Medium,2024-12-14,,Pending Info,
ADH-0161,2024-03-21,Underwriting,UND-Manager,Exception Report,Low,2024-03-31,2024-03-23,Completed,54
ADH-0162,2024-01-15,Underwriting,UND-Lead,Exception Report,Medium,2024-01-21,2024-01-17,Completed,69
ADH-0163,2024-10-04,Closing,CLO-Manager,Compliance Audit,High,2024-10-07,2024-10-05,Completed,31
ADH-0164,2024-08-03,Client Services,CLI-Manager,Volume Tracker,High,2024-08-04,2024-08-03,Completed,13
ADH-0165,2024-08-01,Compliance,COM-Director,Volume Tracker,Low,2024-08-14,2024-08-09,Completed,197
ADH-0166,2024-12-30,Client Services,CLI-Manager,Trend Analysis,Medium,2025-01-06,,Pending Info,
ADH-0167,2024-01-07,Operations,OPE-Manager,Performance Summary,Low,2024-01-15,2024-01-11,Completed,104
ADH-0168,2024-06-20,Closing,CLO-Manager,Performance Summary,High,2024-06-22,2024-06-20,Completed,20
ADH-0169,2024-08-24,Underwriting,UND-Director,Custom Metric,Medium,2024-08-28,2024-08-27,Completed,94
ADH-0170,2024-06-08,Client Services,CLI-VP,Exception Report,High,2024-06-11,2024-06-10,Completed,48
ADH-0171,2024-02-07,Compliance,COM-Manager,Custom Metric,High,2024-02-08,2024-02-07,Completed,8
ADH-0172,2024-01-18,Operations,OPE-Director,Compliance Audit,Low,2024-01-28,2024-01-18,Completed,22
ADH-0173,2024-02-25,Client Services,CLI-VP,Exception Report,Medium,2024-02-28,2024-02-26,Completed,35
ADH-0174,2024-01-17,Operations,OPE-Director,Custom Metric,Low,2024-01-29,2024-01-22,Completed,136
ADH-0175,2024-03-24,Operations,OPE-Lead,Custom Metric,Medium,2024-03-28,2024-03-25,Completed,41
ADH-0176,2024-03-01,Client Services,CLI-Director,Compliance Audit,Medium,2024-03-08,2024-03-04,Completed,77
ADH-0177,2024-09-13,Compliance,COM-Lead,Performance Summary,Medium,2024-09-17,2024-09-14,Completed,42
ADH-0178,2024-05-07,Underwriting,UND-VP,Performance Summary,Medium,2024-05-12,2024-05-08,Completed,43
ADH-0179,2024-01-30,Underwriting,UND-Lead,Compliance Audit,Medium,2024-02-04,2024-01-30,Completed,15
ADH-0180,2024-08-27,Underwriting,UND-Lead,Volume Tracker,High,2024-08-29,,In Progress,
ADH-0181,2024-02-20,Compliance,COM-VP,Performance Summary,Medium,2024-02-23,2024-02-21,Completed,24
ADH-0182,2024-12-21,Underwriting,UND-Director,Compliance Audit,Medium,2024-12-27,2024-12-23,Completed,71
ADH-0183,2024-07-31,Closing,CLO-Director,Exception Report,Medium,2024-08-03,2024-08-02,Completed,64
ADH-0184,2024-01-16,Operations,OPE-VP,Trend Analysis,High,2024-01-18,2024-01-17,Completed,43
ADH-0185,2024-01-31,Closing,CLO-Manager,Volume Tracker,Low,2024-02-07,2024-01-31,Completed,18
ADH-0186,2024-08-23,Client Services,CLI-Director,Performance Summary,Medium,2024-08-30,2024-08-23,Completed,14
ADH-0187,2024-07-09,Operations,OPE-Manager,Trend Analysis,Medium,2024-07-15,2024-07-14,Completed,124
ADH-0188,2024-07-25,Underwriting,UND-Manager,Custom Metric,High,2024-07-28,2024-07-25,Completed,20
ADH-0189,2024-10-14,Underwriting,UND-Manager,Volume Tracker,Low,2024-10-23,2024-10-22,Completed,213
ADH-0190,2024-07-19,Operations,OPE-Lead,Performance Summary,Medium,2024-07-23,2024-07-20,Completed,36
ADH-0191,2024-10-31,Closing,CLO-Lead,Performance Summary,High,2024-11-03,2024-11-02,Completed,59
ADH-0192,2024-10-23,Compliance,COM-Manager,Exception Report,High,2024-10-24,2024-10-23,Completed,22
ADH-0193,2024-01-21,Operations,OPE-Lead,Trend Analysis,Medium,2024-01-26,,In Progress,
ADH-0194,2024-04-24,Compliance,COM-Director,Performance Summary,High,2024-04-25,2024-04-24,Completed,8
ADH-0195,2024-05-12,Closing,CLO-Director,Trend Analysis,High,2024-05-14,2024-05-13,Completed,47
ADH-0196,2024-02-21,Client Services,CLI-Manager,Custom Metric,Medium,2024-02-26,2024-02-21,Completed,9
ADH-0197,2024-03-04,Closing,CLO-Lead,Volume Tracker,Low,2024-03-11,2024-03-06,Completed,71
ADH-0198,2024-03-16,Compliance,COM-VP,Volume Tracker,Low,2024-03-25,,Pending Info,
ADH-0199,2024-05-29,Client Services,CLI-Lead,Custom Metric,Medium,2024-06-02,2024-05-30,Completed,27
ADH-0200,2024-03-25,Operations,OPE-Manager,Custom Metric,High,2024-03-27,2024-03-26,Completed,33
